"[0.007001978259829806, 1.5258082813386273]","[0.012869867640177167, 1.745973836451764]","[0.008403978315142937, 3.0181086519114686]","[0.004020449954046931, 1.8023106546854943]","[0.07550049819725822, 2.8953961148301777]","[0.05860753518245464, 2.90752374882394]","[0.09162162767642965, 2.096080701174136]","[0.05336470709367795, 1.2671480144404332]","[0.011222215813568158, 1.6302042300466637]","[0.0489963676552901, 1.4235892744840204]","[0.010253802833440193, 1.5369482355834254]","[0.049306061550169006, 2.944156008610865]","[0.06515352645859392, 3.490164083038709]","[0.015318857041721748, 2.146179708009027]","[0.014204384308759341, 4.252199413489736]","[0.03424153198072238, 2.3234936896023655]","[0.03700067912429359, 1.658780660249089]"
"[0.010679193511082355, 2.8680959818259266]","[0.010308701499364532, 4.153166421207658]","[0.008836921894071887, 3.205761077879087]","[0.0038025524801024845, 2.896480062345759]","[0.023385015979361705, 4.170746906436393]","[0.0971445254566429, 2.18121889743424]","[0.08219706422653827, 2.043829915763332]","[0.025334487313004965, 1.1846193682030037]","[0.007144877610097866, 1.7630268092013206]","[0.07033991560419757, 1.7902315625608094]","[0.016571246438311493, 2.1625039519443567]","[0.03043442399718081, 1.6453878691450967]","[0.010062656802635265, 6.836174516035828]","[0.0132856393686007, 2.279897612953152]","[0.017717361892029583, 2.7582671109971804]","[0.016159371943919417, 1.6765410311357622]","[0.026876176094667168, 2.482719706587671]"
"[0.050000321149064754, 2.6180672055309846]","[0.048316066085557226, 3.500745386315735]","[0.03543006344680349, 3.2571801566579635]","[0.04016978522881043, 3.420634372192661]","[0.0747334502781747, 3.5701605586019176]","[0.057107669692196696, 3.0620467365028206]","[0.07257294604684546, 2.9164211766686305]","[0.05109127972816826, 2.7789414886189077]","[0.03969755027035502, 2.617863775235129]","[0.07572855952205647, 2.9068280623987723]","[0.01610476233814781, 3.639166275718786]","[0.049879754026832264, 5.291081158589045]","[0.042916813314442165, 4.603643525356968]","[0.06261005853230146, 4.656254561377901]","[0.03549262192691493, 5.233145661902699]","[0.04523525834133094, 2.440509131156613]","[0.03911402838317346, 3.6500268384326358]"
"[0.027554455320166156, 7.187910087626466]","[0.04459590160334044, 6.60903409303544]","[0.009516942312978807, 4.833341146687919]","[0.008556646064570565, 10.393980464551106]","[0.04354645628273367, 4.0128483532392325]","[0.04015566862962519, 2.4496171282715533]","[0.039605599776539505, 2.8017241379310347]","[0.014362959787341437, 1.9783266129032258]","[0.030828584107651453, 2.391332222079754]","[0.08033916125183392, 8.846874655495535]","[0.015110720988317575, 11.287260787029911]","[0.017789488305493473, 11.352439317471761]","[0.03394084773470549, 4.7496790757381255]","[0.037065758011718124, 3.115089514066496]","[0.035975645750616396, 12.000506885190504]","[0.015085127563605189, 2.3311078420278375]","[0.0283765452810768, 3.187146744818924]"
"[0.016555976966932784, 12.435233160621761]","[0.023008430965868798, 11.09500743735459]","[0.0065655500558367665, 2.4116896013618954]","[0.004071660082584966, 14.494550338343922]","[0.02140408511929875, 3.472703854156346]","[0.02244753887246842, 1.507936507936508]","[0.03877432765693764, 1.9367514970059878]","[0.00648641764095159, 14.95576331806488]","[0.01090733499459651, 1.5824363817805973]","[0.049494410527021714, 19.454674678555275]","[0.01087480688817013, 15.575601374570446]","[0.027282956608783077, 13.520002705353217]","[0.041775856280594874, 4.171507607192255]","[0.027763563371372146, 2.647569444444444]","[0.007877055621023744, 15.263526862532661]","[0.016477015992202526, 2.182879624341646]","[0.024506378834986593, 2.0930935469245884]"
"[0.010148001771855073, 1.408745964529789]","[0.03477644111405429, 1.7838462809007323]","[0.003646168327738694, 3.19480630418998]","[0.0021180656685259565, 0.8917501192179303]","[0.00937265367045276, 2.0931345187784065]","[0.012261149257109484, 1.52]","[0.02229292278095954, 1.8466169830023127]","[0.012369275980819485, 1.2750389393994277]","[0.0039575749212449616, 2.125640539001708]","[0.012415470085873416, 1.4137039042290802]","[0.023323801529536413, 1.9323192786008025]","[0.022590260507328576, 2.442621091239082]","[0.09823999734655774, 2.6081999144852483]","[0.02274300046467416, 1.5440589227083148]","[0.009051147176598755, 1.5375549126754529]","[0.011604579360673925, 1.9902099703722789]","[0.0036655707410354903, 1.6820757530569639]"
"[0.04270160272482206, 2.026328795435144]","[0.07811679929829984, 2.3984923762206614]","[0.036416364521160545, 2.851879145173176]","[0.015672508265204686, 2.100572883513686]","[0.052407235475210076, 3.279731993299832]","[0.08333498976725338, 2.2377835286953873]","[0.07979260357606734, 2.569458128078818]","[0.024729203784436566, 1.7036026402153472]","[0.021950232859181053, 1.7400419287211741]","[0.08346876282526183, 1.718189345845984]","[0.01546969161676698, 4.51179718875502]","[0.05114470079682139, 3.0248053832959494]","[0.06704763409518553, 4.675381027282096]","[0.07594610935849391, 2.771320200660712]","[0.047241459461482574, 3.200129954515919]","[0.021752573962075077, 2.0718513982445397]","[0.05542118296683241, 2.418271383788625]"
"[0.02287954117263796, 9.071778515766283]","[0.013845837734805144, 10.32887000720707]","[0.005725000208477396, 9.915213284716426]","[0.004679882847933024, 7.851138095472199]","[0.017936521972258108, 9.466019417475728]","[0.02385469721691759, 6.565638889861057]","[0.027417859907534668, 5.893825330576901]","[0.011482590646357886, 8.269598470363288]","[0.011578477971798559, 7.424275680421422]","[0.037080709617852474, 7.923105517497743]","[0.008014187093870808, 11.217266471956835]","[0.016650701815551495, 13.321127385707946]","[0.014470584530732251, 11.792855112290344]","[0.015360084614435563, 2.0892561983471074]","[0.008767413933156507, 11.543212336135793]","[0.0173944010380909, 8.434377728198662]","[0.02611317925605939, 7.098169911711396]"
"[0.03177553233670262, 2.9471348639783908]","[0.07176342745083494, 3.8579387186629526]","[0.020162134915426507, 6.782048701952103]","[0.013503245513447533, 2.9957893283633603]","[0.08683148436682654, 4.038547919474049]","[0.05426906615994508, 3.0478500723815487]","[0.053473938601268686, 2.490556092418519]","[0.03392117258477114, 3.1588220488296]","[0.04633988931724415, 2.5446520929591063]","[0.06357565245255638, 2.933380455910938]","[0.017650530896916393, 4.008309910790664]","[0.055156720450889714, 4.8102163887903515]","[0.10091900270424382, 5.243611773183305]","[0.02150192505281389, 3.5708094990466286]","[0.027958518008088865, 4.528901882340873]","[0.029095994556812825, 3.549670520949894]","[0.021081554987446488, 3.9764771772612715]"
"[0.01889228775081265, 8.021282327586206]","[0.03679281175686926, 2.3640795963489993]","[0.006617361148214233, 3.6688948082625523]","[0.003960643861209693, 2.115598744812228]","[0.02353577862834609, 4.412744967337688]","[0.006107411185637803, 1.6123882503192848]","[0.019045027197700078, 2.3786577886805675]","[0.012701615467943387, 5.092363359360122]","[0.004201950739310961, 6.326842559978734]","[0.018745331583890464, 4.411842593082993]","[0.0212990386659855, 8.474879313427499]","[0.01809632466857798, 3.494183933115231]","[0.08852373334819187, 4.869014147364663]","[0.03632493588714801, 4.891513673128771]","[0.01750069873299124, 5.201034817290072]","[0.016892117298743115, 5.515189260258806]","[0.024666751945348044, 4.7427048452128755]"
